"status","contents__totalCount","contents__items__type","contents__items__id","contents__items__name","contents__items__shareUrl","contents__items__durationMs","contents__items__durationText","contents__items__discNumber","contents__items__trackNumber","contents__items__playCount","contents__items__artists__type","contents__items__artists__id","contents__items__artists__name","contents__items__artists__shareUrl","contents__items__album__type","contents__items__album__id","contents__items__album__name","contents__items__album__shareUrl","contents__items__album__artists__type","contents__items__album__artists__id","contents__items__album__artists__name","contents__items__album__artists__shareUrl","contents__items__album__cover__url","contents__items__album__cover__width","contents__items__album__cover__height","contents__items__playlist__addedAt","contents__items__playlist__addedBy"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000485195ca6a9b4083a86c149934ae","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae","640","640","",""
"","","track","59NraMJsLaMCVtwXTSia8i","Prada","https://open.spotify.com/track/59NraMJsLaMCVtwXTSia8i","132359","02:12","1","1","108629879","artist","5wCmhq5J2hPwL2r0eKurxn","cassö","https://open.spotify.com/artist/5wCmhq5J2hPwL2r0eKurxn","album","5MU0RmBSpoSxOPYBfcobDc","Prada","https://open.spotify.com/album/5MU0RmBSpoSxOPYBfcobDc","artist","5wCmhq5J2hPwL2r0eKurxn","cassö","https://open.spotify.com/artist/5wCmhq5J2hPwL2r0eKurxn","https://i.scdn.co/image/ab67616d00001e02e4b7dccdfd54375ded9ccc5c","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","artist","5KKpBU5eC2tJDzf0wmlRp2","RAYE","https://open.spotify.com/artist/5KKpBU5eC2tJDzf0wmlRp2","","","","","artist","5KKpBU5eC2tJDzf0wmlRp2","RAYE","https://open.spotify.com/artist/5KKpBU5eC2tJDzf0wmlRp2","https://i.scdn.co/image/ab67616d00004851e4b7dccdfd54375ded9ccc5c","64","64","",""
"","","","","","","","","","","","artist","5VadK1havLhK1OpKYsXv9y","D-Block Europe","https://open.spotify.com/artist/5VadK1havLhK1OpKYsXv9y","","","","","artist","5VadK1havLhK1OpKYsXv9y","D-Block Europe","https://open.spotify.com/artist/5VadK1havLhK1OpKYsXv9y","https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c","640","640","",""
"","","track","4Dvkj6JhhA12EX05fT7y2e","As It Was","https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e","167303","02:47","1","4","2708288511","artist","6KImCVD70vtIoJWnq6nGn3","Harry Styles","https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3","album","5r36AJ6VOJtp00oxSkBZ5h","Harry's House","https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h","artist","6KImCVD70vtIoJWnq6nGn3","Harry Styles","https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3","https://i.scdn.co/image/ab67616d00001e022e8ed79e177ff6011076f5f0","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d000048512e8ed79e177ff6011076f5f0","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","640","640","",""
"","","track","7MXVkk9YMctZqd1Srtv4MB","Starboy","https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB","230453","03:50","1","1","2714056733","artist","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ","album","2ODvWsOgouMbaA5xf0RkJe","Starboy","https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe","artist","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ","https://i.scdn.co/image/ab67616d00001e024718e2b124f79258be7bc452","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","artist","4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi","","","","","","","","","https://i.scdn.co/image/ab67616d000048514718e2b124f79258be7bc452","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452","640","640","",""
"","","track","1Qrg8KqiBpW07V7PNxwwwL","Kill Bill","https://open.spotify.com/track/1Qrg8KqiBpW07V7PNxwwwL","153946","02:33","1","2","1354228715","artist","7tYKF4w9nC0nq9CsPZTHyP","SZA","https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP","album","1nrVofqDRs7cpWXJ49qTnP","SOS","https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP","artist","7tYKF4w9nC0nq9CsPZTHyP","SZA","https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP","https://i.scdn.co/image/ab67616d00001e020c471c36970b9406233842a5","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d000048510c471c36970b9406233842a5","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5","640","640","",""
"","","track","6uIIdjYTxxpWOyWuVXrKQO","Que Onda","https://open.spotify.com/track/6uIIdjYTxxpWOyWuVXrKQO","191466","03:11","1","1","77004685","artist","6dLuQ5qXxIuWc5urxfIiZR","Calle 24","https://open.spotify.com/artist/6dLuQ5qXxIuWc5urxfIiZR","album","4x6cjOcVz44aiLSOHCLKPd","Que Onda","https://open.spotify.com/album/4x6cjOcVz44aiLSOHCLKPd","artist","6dLuQ5qXxIuWc5urxfIiZR","Calle 24","https://open.spotify.com/artist/6dLuQ5qXxIuWc5urxfIiZR","https://i.scdn.co/image/ab67616d00001e02c069abd6ab0ed961aa7b2d39","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","artist","2rmkQLzj0k4nZdQehOUByO","Chino Pacas","https://open.spotify.com/artist/2rmkQLzj0k4nZdQehOUByO","","","","","artist","2rmkQLzj0k4nZdQehOUByO","Chino Pacas","https://open.spotify.com/artist/2rmkQLzj0k4nZdQehOUByO","https://i.scdn.co/image/ab67616d00004851c069abd6ab0ed961aa7b2d39","64","64","",""
"","","","","","","","","","","","artist","0ys2OFYzWYB5hRDLCsBqxt","Fuerza Regida","https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt","","","","","artist","0ys2OFYzWYB5hRDLCsBqxt","Fuerza Regida","https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt","https://i.scdn.co/image/ab67616d0000b273c069abd6ab0ed961aa7b2d39","640","640","",""
"","","track","3xMHXmedL5Rvfxmiar9Ryv","Chaleya","https://open.spotify.com/track/3xMHXmedL5Rvfxmiar9Ryv","200373","03:20","1","2","89028576","artist","4zCH9qm4R2DADamUHMCa6O","Anirudh Ravichander","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O","album","3WLJmMZUeDOuERFAk1Mxs6","Jawan","https://open.spotify.com/album/3WLJmMZUeDOuERFAk1Mxs6","artist","4zCH9qm4R2DADamUHMCa6O","Anirudh Ravichander","https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O","https://i.scdn.co/image/ab67616d00001e02e452a6e11147f3e56aee6f5b","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","artist","4YRxDV8wJFPHPTeXepOstw","Arijit Singh","https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw","","","","","","","","","https://i.scdn.co/image/ab67616d00004851e452a6e11147f3e56aee6f5b","64","64","",""
